Nest_ID,year,ring,date,time,sex,site,nest,left_tarsus,right_tarsus,left_wing,right_wing,weight,fat,blood,code,moult,observer,comments
2006_B2,2006,CA245,506,1899-12-31 10:00:00,F,B,2,25,24.8,109,111,37,1,1,RX.MX|BX.RX,,CK,
2006_B2,2006,802122903,507,1899-12-31 22:00:00,M,B,2,25.2,25.2,107,108,35.5,2,1,RX.MX|WX.WX,,CK,
2006_B2,2006,CA023,529,1899-12-31 17:05:00,J,B,2,18.3,18.2,,,6.3,,1,MX.XX|OX.XX,,CK,
2006_B207,2006,CA203,609,1899-12-31 20:15:00,M,B,207,26,26.1,,,39.5,,,RX.MX|RX.RX,,CK,
2006_B207,2006,CA204,609,1899-12-31 20:15:00,F,B,207,25.3,25.3,105,106,37,2,1,WX.MX|YX.YX,,CK,
2006_B207,2006,CA184,618,1899-12-31 11:10:00,J,B,207,17.7,17.9,,,6.7,,1,MX.XX|YX.XX,,CK,
2006_B207,2006,CA187,618,1899-12-31 16:15:00,J,B,207,17.9,17.8,,,6.7,,1,MX.XX|YX.XX,,CK,
2006_B208,2006,CA089,607,1899-12-31 18:15:00,J,B,208,17.4,17.3,,,6.8,,1,MX.XX|SX.XX,,CK,
2006_B208,2006,CA090,607,1899-12-31 18:15:00,J,B,208,17.3,17.3,,,6.3,,1,MX.XX|SX.XX,,CK,
2006_B208,2006,CA091,607,1899-12-31 18:30:00,M,B,208,25.1,25,112,112,40,1,1,WX.MX|YX.BX,,CK,
2006_B208,2006,CA126,607,1899-12-31 19:30:00,F,B,208,24.4,24.4,108,108,37.75,2,1,YX.MX|GX.WX,,SQ,
2006_B208,2006,XX.XX|SX.XX,608,1899-12-31 08:00:00,J,B,208,,,,,,,1,XX.XX|SX.XX,,SQ,chick didn't stop bleeding
2006_B209,2006,CA123,607,1899-12-31 17:30:00,M,B,209,23.9,23.9,108,109,37.25,0,1,YX.MX|LX.RX,,SQ,
