"","X","dayID","Nest_ID","Brood_age","Date2","Year","Male_ID","Female_ID","Chick1_ID","Chick1_HD","Chick1_Fate","Chick2_ID","Chick2_HD","Chick2_Fate","Chick3_ID","Chick3_HD","Chick3_Fate","Chick4_ID","Chick4_HD","Chick4_Fate","Chick5_ID","Chick5_HD","Chick5_Fate","Date","Hatching_date","Parents","male_care","female_care","Chicks_nr","Chick1_pres","Chick2_pres","Chick3_pres","Chick4_pres","Chick5_pres","Chick1_surv_age","Chick2_surv_age","Chick3_surv_age","Chick4_surv_age","Chick5_surv_age","Female_dur_care","Male_dur_care","Manipulation","M_tarsus_mean","Male_CI","F_tarsus_mean","Female_CI","Chick1_pres_full","Chick2_pres_full","Chick3_pres_full","Chick4_pres_full","Chick5_pres_full","Chick_nr2","julian_hatching_date","Mean_hatching_date","Sd","Relative_hatching_date","Chick_presence_max_age","Chick_presence_max_day","Male_care_full","Female_care_full","Brood_fate","Chick1_pres_lead","Chick2_pres_lead","Chick3_pres_lead","Chick4_pres_lead","Chick5_pres_lead","Female_care_lead","Chick1_change_lead","Chick2_change_lead","Chick3_change_lead","Chick4_change_lead","Chick5_change_lead","Chick_change_nr","Chick_change","Female_change","End_of_care","Mean_brood_CI","Max_chick_CI"
"23",23,"2006_A104_13","2006_A104",13,"2006-06-23",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,0,NA,NA,NA,1,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,0,"unknown",1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
"24",24,"2006_A104_14","2006_A104",14,"2006-06-24",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,0,NA,NA,NA,1,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,0,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Desertion",5.74990327615569,5.7951781051018
"25",25,"2006_A5_0","2006_A5",0,"2006-05-29",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,529,"2006-05-29",4,1,1,1,2,0,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",25.2,38.5000524586726,24.6,42.8475513298072,1,0,NA,NA,NA,1,149,157.931684334511,10.4953964353044,-0.851009715504106,6.5,6,1,1,"died",1,1,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,"Desertion",5.80190547793677,5.80190547793677
"26",26,"2006_A5_1","2006_A5",1,"2006-05-30",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,530,"2006-05-29",4,1,1,2,2,2,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",25.2,38.5000524586726,24.6,42.8475513298072,1,1,NA,NA,NA,2,149,157.931684334511,10.4953964353044,-0.851009715504106,6.5,6,1,1,"died",1,1,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,"Desertion",5.80190547793677,5.80190547793677
"27",27,"2006_A5_2","2006_A5",2,"2006-05-31",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,531,"2006-05-29",4,1,1,2,2,2,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",25.2,38.5000524586726,24.6,42.8475513298072,1,1,NA,NA,NA,2,149,157.931684334511,10.4953964353044,-0.851009715504106,6.5,6,1,1,"died",1,1,NA,NA,NA,0,0,0,NA,NA,NA,0,0,1,"Desertion",5.80190547793677,5.80190547793677
"28",28,"2006_A5_3","2006_A5",3,"2006-06-01",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,601,"2006-05-29",3,1,0,2,2,2,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",25.2,38.5000524586726,24.6,42.8475513298072,1,1,NA,NA,NA,2,149,157.931684334511,10.4953964353044,-0.851009715504106,6.5,6,1,0,"died",1,1,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.80190547793677,5.80190547793677
"29",29,"2006_A5_4","2006_A5",4,"2006-06-02",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-05-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",25.2,38.5000524586726,24.6,42.8475513298072,1,1,NA,NA,NA,2,149,157.931684334511,10.4953964353044,-0.851009715504106,6.5,6,1,0,"died",1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,1,0,"Desertion",5.80190547793677,5.80190547793677
"30",30,"2006_A5_5","2006_A5",5,"2006-06-03",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-05-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",25.2,38.5000524586726,24.6,42.8475513298072,1,0,NA,NA,NA,1,149,157.931684334511,10.4953964353044,-0.851009715504106,6.5,6,1,0,"died",1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.80190547793677,5.80190547793677
"31",31,"2006_A5_6","2006_A5",6,"2006-06-04",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,604,"2006-05-29",3,1,0,1,2,0,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",25.2,38.5000524586726,24.6,42.8475513298072,1,0,NA,NA,NA,1,149,157.931684334511,10.4953964353044,-0.851009715504106,6.5,6,1,0,"died",0,0,NA,NA,NA,0,1,0,NA,NA,NA,1,1,0,"Desertion",5.80190547793677,5.80190547793677
"32",32,"2006_A5_7","2006_A5",7,"2006-06-05",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,605,"2006-05-29",3,1,0,0,0,0,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",25.2,38.5000524586726,24.6,42.8475513298072,0,0,NA,NA,NA,0,149,157.931684334511,10.4953964353044,-0.851009715504106,6.5,6,0,0,"died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Desertion",5.80190547793677,5.80190547793677
