"","X","dayID","Nest_ID","Brood_age","Date2","Year","Male_ID","Female_ID","Chick1_ID","Chick1_HD","Chick1_Fate","Chick2_ID","Chick2_HD","Chick2_Fate","Chick3_ID","Chick3_HD","Chick3_Fate","Chick4_ID","Chick4_HD","Chick4_Fate","Chick5_ID","Chick5_HD","Chick5_Fate","Date","Hatching_date","Parents","male_care","female_care","Chicks_nr","Chick1_pres","Chick2_pres","Chick3_pres","Chick4_pres","Chick5_pres","Chick1_surv_age","Chick2_surv_age","Chick3_surv_age","Chick4_surv_age","Chick5_surv_age","Female_dur_care","Male_dur_care","Manipulation","M_tarsus_mean","Male_CI","F_tarsus_mean","Female_CI","Chick1_pres_full","Chick2_pres_full","Chick3_pres_full","Chick4_pres_full","Chick5_pres_full","Chick_nr2","julian_hatching_date","Mean_hatching_date","Sd","Relative_hatching_date","Chick_presence_max_age","Chick_presence_max_day","Male_care_full","Female_care_full","Brood_fate","Chick1_pres_lead","Chick2_pres_lead","Chick3_pres_lead","Chick4_pres_lead","Chick5_pres_lead","Female_care_lead","Chick1_change_lead","Chick2_change_lead","Chick3_change_lead","Chick4_change_lead","Chick5_change_lead","Chick_change_nr","Chick_change","Female_change","End_of_care","Mean_brood_CI","Max_chick_CI"
"11",11,"2006_A104_1","2006_A104",1,"2006-06-11",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,1,NA,NA,NA,2,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,1,"unknown",1,1,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
"12",12,"2006_A104_2","2006_A104",2,"2006-06-12",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,1,NA,NA,NA,2,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,1,"unknown",1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,1,1,"Desertion",5.74990327615569,5.7951781051018
"13",13,"2006_A104_3","2006_A104",3,"2006-06-13",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,0,NA,NA,NA,1,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,0,"unknown",1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
"14",14,"2006_A104_4","2006_A104",4,"2006-06-14",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,614,"2006-06-10",3,1,0,1,2,0,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,0,NA,NA,NA,1,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,0,"unknown",1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
"15",15,"2006_A104_5","2006_A104",5,"2006-06-15",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,0,NA,NA,NA,1,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,0,"unknown",1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
"16",16,"2006_A104_6","2006_A104",6,"2006-06-16",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,616,"2006-06-10",3,1,0,1,2,0,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,0,NA,NA,NA,1,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,0,"unknown",1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
"17",17,"2006_A104_7","2006_A104",7,"2006-06-17",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,0,NA,NA,NA,1,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,0,"unknown",1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
"18",18,"2006_A104_8","2006_A104",8,"2006-06-18",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,618,"2006-06-10",3,1,0,1,2,0,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,0,NA,NA,NA,1,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,0,"unknown",1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
"19",19,"2006_A104_9","2006_A104",9,"2006-06-19",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,0,NA,NA,NA,1,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,0,"unknown",1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
"20",20,"2006_A104_10","2006_A104",10,"2006-06-20",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,620,"2006-06-10",3,1,0,1,2,0,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,0,NA,NA,NA,1,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,0,"unknown",1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
"21",21,"2006_A104_11","2006_A104",11,"2006-06-21",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,0,NA,NA,NA,1,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,0,"unknown",1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
"22",22,"2006_A104_12","2006_A104",12,"2006-06-22",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,622,"2006-06-10",3,1,0,1,2,0,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,0,NA,NA,NA,1,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,0,"unknown",1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
